,accuracy,roc_auc,f1_score,recall,precision,model,resampling
14,0.9313099041533547,0.911776742735759,0.7675675675675676,0.7319587628865979,0.8068181818181818,LGBM Classifier,smotetomek
0,0.9265175718849841,0.933876405589227,0.7526881720430108,0.7216494845360825,0.7865168539325843,Gradient Boosting Classifier,ros
8,0.9249201277955271,0.9072554713230565,0.745945945945946,0.711340206185567,0.7840909090909091,LGBM Classifier,smote
12,0.9249201277955271,0.9192992029310312,0.745945945945946,0.711340206185567,0.7840909090909091,Gradient Boosting Classifier,smotetomek
6,0.9249201277955271,0.9130045017831738,0.7431693989071039,0.7010309278350515,0.7906976744186046,Gradient Boosting Classifier,smote
1,0.9201277955271565,0.9138619842924796,0.7422680412371134,0.7422680412371134,0.7422680412371134,XGB Classifier,ros
7,0.9201277955271565,0.9226511800128623,0.7368421052631579,0.7216494845360825,0.7526881720430108,XGB Classifier,smote
13,0.9185303514376997,0.9207803090834681,0.7357512953367875,0.7319587628865979,0.7395833333333334,XGB Classifier,smotetomek
2,0.9073482428115016,0.9110556778983883,0.71,0.7319587628865979,0.6893203883495146,LGBM Classifier,ros
5,0.8610223642172524,0.9171360084189192,0.6329113924050633,0.7731958762886598,0.5357142857142857,LGBM Classifier,rus
3,0.8434504792332268,0.9128680841112389,0.6111111111111112,0.7938144329896907,0.4967741935483871,Gradient Boosting Classifier,rus
4,0.8194888178913738,0.9119326486465417,0.5890909090909091,0.8350515463917526,0.4550561797752809,XGB Classifier,rus
9,0.646964856230032,0.7552861847874807,0.4010840108401084,0.7628865979381443,0.27205882352941174,Gradient Boosting Classifier,nearmiss
11,0.634185303514377,0.7388965759164344,0.39577836411609496,0.7731958762886598,0.26595744680851063,LGBM Classifier,nearmiss
10,0.5958466453674122,0.7500243602985598,0.37530864197530867,0.7835051546391752,0.24675324675324675,XGB Classifier,nearmiss
